Original,Translated
廳,hall
庫,Library
慶,Celebration
綠,green
額,amount
誤,error
納,Na
遺,Legacy
魯,Lu
貨,goods
緩,slow
偉,Wei
莊,village
燒,burn
搶,grab
戲,play
謂,Predicate
課,class
郵,mail
榮,Rong
擁,Hold
獻,offer
嘆,sigh
陰,Yin
橫,horizontal
簽,sign
輪,wheel
訓,Training
圓,circle
釋,release
諸,various
奪,Take
測,Measurement
蓋,cover
閱,read
購,purchase
縱,vertical
掛,hang
擇,Choose
譽,reputation
檢,Check
宮,palace
儀,instrument
擺,put
奧,Oh
滅,Off
慮,consider
寬,width
紹,Shao
補,Make up
贊,awesome
穩,stable
厲,Sharp
屆,Session
跡,Trace
雞,Chicken
憶,Recall
誠,Honest
減,Less
針,needle
競,Competition
倫,Lun
鋼,steel
諾,promise
殘,Residual
災,disaster
喬,Joe
糧,grain
譯,Translation
謀,seek
礎,foundation
損,damage
輛,Vehicle
凈,net
蕩,swing
奮,Fen
膽,Gallbladder
棄,abandoned
煩,bother
猶,still
稅,tax
鋒,Front
遙,remote
慣,used
憑,By
幣,currency
啟,start
碼,code
窮,poor
頗,quite
傾,pour
韓,Han
貿,trade
飄,With the wind
側,~ side
賞,award
純,pure
閉,close
涼,cool
掃,sweep
貼,paste
滾,roll
緣,edge
貝,shell
潤,Run
擴,Expand
欄,column
嚇,scare
倆,both
藍,blue
閑,Moth
鏡,mirror
騎,ride
顏,Yan
貧,poor
駐,Station
傑,Jie
撲,flutter
壯,strong
薩,Sa
憂,worry
獄,prison
鳳,phoenix
觸,touch
戀,love
豈,岂
俠,Man
遲,late
輝,Hui
縮,Shrink
蕭,Xiao
辭,Resignation
齡,age
徑,path
賴,Lai
憤,anger
詢,Inquiry
慘,awful
麥,wheat
騰,Teng
烏,Wu
崗,Post
鋪,shop
擋,block
帳,Book
豬,pig
勸,advise
築,build
擠,squeeze
潔,clean
鄭,Zheng
鳴,Ming
顆,One
喪,funeral
爛,rotten
騙,cheat
頁,page
屍,corpse
療,Treatment
塵,dust
飲,drink
賓,guest
緒,thread
賊,thief
廢,Waste
詳,detailed
湯,soup
徹,Toru
轟,boom
憐,pity
鳥,bird
毀,destroy
聰,Cong
辯,debate
餓,hungry
楓,maple
掙,earn
彎,bend
蔣,Jiang
違,Violate
虧,deficit
丟,throw
繞,Winding around
暫,temporarily
遞,Hand
潛,latent
鴻,Hong
績,Performance
塗,Paint
悶,stuffy
勵,Reed
艦,Ship
牽,Pull
肅,Su
夾,folder
瘋,Crazy
惱,angry
顫,Tremor
艱,difficult
蒼,Cang
蓮,lotus
鑽,Drill
峽,gorge
遼,Liao
凱,Kay
貓,Cat
濤,Tao
鍋,pot
罰,Penalty
濃,concentrated
鍵,key
脈,pulse
鎖,lock
鄰,adjacent
駕,drive
禍,disaster
覽,View
銅,copper
檔,files
拋,throw
驅,drive
窩,nest
褲,pants
闊,wide
瑪,Ma
頻,frequency
禪,Zen
萊,Lai
嘗,taste
盜,Thief
籌,Raise
淺,shallow
厭,Disgusted
壽,life
錦,Brocade
鑒,Jian
趨,Tend
貫,Through
撥,dial
遜,Xun
賠,pay
遷,move
襲,Attack
駛,Drive
懼,fear
紐,New
蹤,trace
叢,cluster
銳,sharp
濕,wet
睜,open eyes
溝,ditch
貢,tribute
渾,muddy
贏,win
馳,Chi
恆,Constant
賢,Yin
飾,Decoration
償,Pay
纏,Wrap
攝,Photo
擬,Pseudo
闖,闯
賀,He
縫,Seam
飽,full
撫,Care
冊,book
煉,Refining
憲,constitution
廟,temple
誼,friendship
儲,Storage
馮,Feng
喚,Call
貪,greedy
臥,Lying
擾,Disturb
脅,Threat
譜,Spectrum
閣,Court
鵬,Peng
盧,Lu
礙,hinder
綜,Comprehensive
暈,gosh
攔,bar
霧,fog
恥,shame
攤,Booth
誕,birth
懸,Hang
湊,Make up
籠,cage
顛,Top
攜,carry
擲,Throw
糾,correct
穌,Jesus
噸,Ton
蟲,insect
繩,rope
廚,kitchen
漲,rise
皺,wrinkle
賭,bet
饒,Rao
礦,mine
暢,smooth
噴,spray
鏢,dart
撐,support
爐,furnace
偽,Pseudo
諒,Forgive
釣,Fishing
腸,intestinal
剝,peel
賺,earn
燭,candle
廈,Xiamen
邁,Mai
齒,tooth
謹,Worry
彌,Mi
誇,boast
債,debt
剎,brake
膚,skin
癥,disease
欽,Chin
綿,cotton
誘,Lure
晉,Jin
悅,Yue
艷,Yan
貸,loan
頸,neck
踐,Practice
賈,Jia
轎,Sedan
嬌,Jiao
瀟,潇
賜,Give
墳,grave
頌,颂
磚,brick
鶴,crane
漁,fish
啞,dumb
餅,cake
犧,sacrifice
灘,beach
釘,nail
錫,tin
贈,Gift
鈴,bell
頑,stubborn
鷹,eagle
軌,rail
喲,Yo
碩,large
帥,Handsome
懶,lazy
獸,beast
獵,hunting
鹽,salt
飢,hungry
邏,logic
驕,arrogant
販,Vendor
繪,painted
蠻,quite
敘,Syria
斬,cut
呂,Lu
譚,Tan
凍,freeze
駱,Luo
潑,splash
謙,Modest
廁,toilet
嶺,ridge
鮑,abalone
禿,bald
倉,warehouse
綁,tie
薦,recommend
鴨,duck
診,Diagnosis
紋,Grain
龐,Pang
騷,Sao
嘩,哗
畝,mu
謊,lie
籃,basket
擱,put
廂,Car
瞞,conceal
腫,swollen
僑,Overseas Chinese
疊,Stack
嘯,Whistling
脹,Bulging
賦,Fu
懇,恳
嬰,infant
斃,shoot
謎,puzzle
瓊,Joan
嗚,呜
竄,窜
頒,Award
頰,cheek
囑,嘱
駁,barge
滬,Shanghai
賤,cheap
鉤,hook
豎,vertical
懲,Punish
繡,Embroidery
訝,be surprised
綱,Gang
濱,coast
艙,cabin
娛,Entertainment
鴉,crow
獅,lion
凜,cold
龜,turtle
窯,kiln
纖,Fiber
寵,Pet
鏈,chain
壩,dam
狹,narrow
銘,Ming
淵,deep
襯,lining
緬,Myanmar
摟,hug
縛,Binding
燦,Can
輿,舆
韻,rhyme
竊,steal
偵,Detective
陝,Shaanxi
聳,towering
醬,sauce
壺,pot
癢,itch
殼,shell
貞,贞
蘆,reed
輔,auxiliary
賬,Account
撿,捡
糞,shit
濫,excessive
潰,Collapse
隸,scribe
曠,旷
繳,pay
穎,Ying
妝,Makeup
蠟,wax
劑,Agent
驟,Step
廬,庐
蘋,apple
曬,show
攏,Close
朧,hazy
膠,gum
諷,Satir
揀,Pick
樁,pile
謠,rumor
墜,fall
滯,Hysteresis
誦,recite
岡,Gang
紗,yarn
銜,title
膩,greasy
撈,Fishing
攪,stir
傘,umbrella
鑄,Cast
軀,Body
燙,hot
漿,Pulp
釀,wine
鵝,Goose
茲,Here
搗,捣
棟,Building
纜,cable
爍,sparkle
詐,Fraud
紡,Spinning
錘,hammer
兌,Redemption
辮,braid
墮,fall
覓,seek
諧,Harmonic
綢,silk
澆,Pouring
淪,perish
縷,thread
蘿,radish
蔭,shade
譏,讥
蔥,shallot
鞏,Gong
齋,fast
幟,flag
鉛,lead
賄,bribe
絨,velvet
侶,companion
鍛,Forging
譴,Condemn
洶,tumultuous
諱,taboo
鑼,gong
勻,uniform
綽,绰
絞,twist
軸,axis
壘,base
蘊,Implication
傭,commission
晝,day
蝕,eclipse
蝦,shrimp
謬,absurd
紳,gentry
鑲,Setting
聾,deaf
壟,Ridge
彥,Yan
翹,Warp
闡,Explain
訟,Litigation
樞,pivot
嶄,崭
瀉,diarrhea
儉,俭
